#DMCNumber , Description , Red , Green , Blue , Hex
444 , Lemon - DK , 255 , 176 , 0 , 0xFFB000
437 , Tan - LT , 238 , 171 , 121 , 0xEEAB79
436 , Tan , 231 , 152 , 115 , 0xE79873
435 , Brown - VY LT , 187 , 107 , 57 , 0xBB6B39
434 , Brown - LT , 178 , 103 , 70 , 0xB26746
433 , Brown - MED , 151 , 84 , 20 , 0x975414
422 , Hazelnut Brown - LT , 237 , 172 , 123 , 0xEDAC7B
420 , Hazelnut Brown - DK , 140 , 91 , 43 , 0x8C5B2B
415 , Pearl Grey , 221 , 221 , 218 , 0xDDDDDA
414 , Steel Grey - DK , 167 , 139 , 136 , 0xA78B88
413 , Pewter Grey - DK , 109 , 95 , 95 , 0x6D5F5F
407 , Sportsman Flesh - VY DK , 194 , 101 , 76 , 0xC2654C
402 , Mahogany - VY LT , 255 , 190 , 164 , 0xFFBEA4
400 , Mahogany - DK , 157 , 60 , 39 , 0x9D3C27
372 , Mustard - LT , 203 , 162 , 107 , 0xCBA26B
371 , Mustard , 196 , 155 , 100 , 0xC49B64
370 , Mustard - MED , 184 , 138 , 87 , 0xB88A57
369 , Pistachio Green - VY LT , 243 , 250 , 209 , 0xF3FAD1
368 , Pistachio Green - LT , 181 , 206 , 162 , 0xB5CEA2
367 , Pistachio Green - DK , 95 , 112 , 91 , 0x5F705B
676 , Old Gold - LT , 255 , 206 , 158 , 0xFFCE9E
666 , Christmas Red - LT , 213 , 39 , 86 , 0xD52756
648 , Beaver Grey - LT , 202 , 202 , 202 , 0xCACACA
647 , Beaver Grey - MED , 190 , 190 , 185 , 0xBEBEB9
646 , Beaver Grey - DK , 121 , 121 , 121 , 0x797979
645 , Beaver Grey - VY DK , 113 , 113 , 113 , 0x717171
644 , Beige Grey - MED , 224 , 224 , 215 , 0xE0E0D7
642 , Beige Grey - DK , 174 , 176 , 170 , 0xAEB0AA
640 , Beige Grey - VY DK , 163 , 163 , 157 , 0xA3A39D
632 , Dark Flesh - MED , 162 , 77 , 52 , 0xA24D34
613 , Drab Brown - LT , 219 , 176 , 122 , 0xDBB07A
612 , Drab Brown - MED , 203 , 152 , 103 , 0xCB9867
611 , Drab Brown - DK , 158 , 109 , 91 , 0x9E6D5B
610 , Drab Brown - VY DK , 151 , 104 , 84 , 0x976854
608 , Bright Orange , 255 , 91 , 0 , 0xFF5B00
606 , Bright Orange-Red , 255 , 0 , 0 , 0xFF0000
605 , Cranberry - VY LT , 255 , 207 , 214 , 0xFFCFD6
604 , Cranberry - LT , 255 , 189 , 202 , 0xFFBDCA
603 , Cranberry , 255 , 115 , 140 , 0xFF738C
602 , Cranberry - MED , 231 , 84 , 122 , 0xE7547A
601 , Cranberry - DK , 222 , 57 , 105 , 0xDE3969
600 , Cranberry - VY DK , 208 , 57 , 106 , 0xD0396A
598 , Turquoise - LT , 208 , 223 , 205 , 0xD0DFCD
597 , Turquoise , 128 , 151 , 132 , 0x809784
581 , Moss Green , 151 , 152 , 49 , 0x979831
580 , Moss Green - DK , 0 , 103 , 0 , 0x006700
564 , Jade - VY LT , 214 , 230 , 204 , 0xD6E6CC
563 , Jade - LT , 182 , 212 , 180 , 0xB6D4B4
562 , Jade - MED , 97 , 134 , 97 , 0x618661
561 , Jade - VY DK , 59 , 96 , 76 , 0x3B604C
