#DMCNumber , Description , Red , Green , Blue , Hex
907 , Parrot Green - LT , 185 , 200 , 102 , 0xB9C866
906 , Parrot Green - MED , 143 , 163 , 89 , 0x8FA359
905 , Parrot Green - DK , 98 , 119 , 57 , 0x627739
904 , Parrot Green - VY DK , 78 , 95 , 57 , 0x4E5F39
902 , Garnet - VY DK , 138 , 24 , 77 , 0x8A184D
900 , Burnt Orange - DK , 206 , 43 , 0 , 0xCE2B00
899 , Rose - MED , 233 , 109 , 115 , 0xE96D73
898 , Coffee Brown - VY DK , 118 , 55 , 19 , 0x763713
895 , Hunter Green - VY DK , 89 , 92 , 78 , 0x595C4E
894 , Carnation - VY LT , 255 , 194 , 191 , 0xFFC2BF
893 , Carnation - LT , 243 , 149 , 157 , 0xF3959D
892 , Carnation - MED , 249 , 90 , 97 , 0xF95A61
891 , Carnation - DK , 241 , 49 , 84 , 0xF13154
890 , Pistachio Green - ULT DK , 79 , 86 , 76 , 0x4F564C
869 , Hazelnut Brown - VY DK , 153 , 92 , 48 , 0x995C30
844 , Beaver Brown - ULT DK , 107 , 103 , 102 , 0x6B6766
842 , Beige Brown - VY LT , 219 , 194 , 164 , 0xDBC2A4
841 , Beige Brown - LT , 188 , 134 , 107 , 0xBC866B
840 , Beige Brown - MED , 128 , 85 , 30 , 0x80551E
839 , Beige Brown - DK , 109 , 66 , 39 , 0x6D4227
838 , Beige Brown - VY DK , 94 , 56 , 27 , 0x5E381B
834 , Golden Olive - VY LT , 242 , 209 , 142 , 0xF2D18E
833 , Golden Olive - LT , 219 , 182 , 128 , 0xDBB680
832 , Golden Olive , 178 , 119 , 55 , 0xB27737
831 , Golden Olive - MED , 144 , 103 , 18 , 0x906712
830 , Golden Olive - DK , 136 , 95 , 18 , 0x885F12
829 , Golden Olive - VY DK , 130 , 90 , 8 , 0x825A08
977 , Golden Brown - LT , 255 , 164 , 73 , 0xFFA449
976 , Golden Brown - MED , 246 , 141 , 57 , 0xF68D39
975 , Golden Brown - DK , 158 , 67 , 18 , 0x9E4312
973 , Canary-BRIGHT , 255 , 194 , 67 , 0xFFC243
972 , Canary-DP , 255 , 146 , 0 , 0xFF9200
971 , Pumpkin *** , 255 , 106 , 0 , 0xFF6A00
970 , Pumpkin - LT , 255 , 117 , 24 , 0xFF7518
967 , Peach - LT +++ , 255 , 194 , 172 , 0xFFC2AC
966 , Baby Green - MED , 206 , 213 , 176 , 0xCED5B0
964 , Sea Green - LT , 208 , 224 , 210 , 0xD0E0D2
963 , Dusty Rose - ULT VY LT , 255 , 233 , 233 , 0xFFE9E9
962 , Dusty Rose - MED , 253 , 134 , 141 , 0xFD868D
961 , Dusty Rose - DK , 243 , 108 , 123 , 0xF36C7B
959 , Sea Green - MED , 171 , 206 , 177 , 0xABCEB1
958 , Sea Green - DK , 0 , 160 , 130 , 0x00A082
957 , Geranium - PALE , 255 , 204 , 208 , 0xFFCCD0
956 , Geranium , 255 , 109 , 115 , 0xFF6D73
955 , Nile Green - LT , 214 , 230 , 204 , 0xD6E6CC
954 , Nile Green , 170 , 213 , 164 , 0xAAD5A4
951 , Flesh , 255 , 229 , 188 , 0xFFE5BC
950 , Sportsman Flesh , 239 , 162 , 127 , 0xEFA27F
948 , Peach Flesh - VY LT , 255 , 243 , 231 , 0xFFF3E7
947 , Burnt Orange , 255 , 91 , 0 , 0xFF5B00
946 , Burnt Orange - MED , 244 , 73 , 0 , 0xF44900
945 , Flesh - MED , 255 , 206 , 164 , 0xFFCEA4
943 , Aquamarine - MED , 0 , 162 , 117 , 0x00A275
939 , Navy Blue - VY DK , 0 , 0 , 49 , 0x000031
938 , Coffee Brown - ULT DK , 99 , 39 , 16 , 0x632710
937 , Avocado Green - MED , 73 , 86 , 55 , 0x495637
936 , Avocado Green - VY DK , 69 , 69 , 49 , 0x454531
935 , Avocado Green - DK , 67 , 63 , 47 , 0x433F2F
934 , Black Avocado Green , 62 , 59 , 40 , 0x3E3B28
932 , Antique Blue - LT , 182 , 186 , 194 , 0xB6BAC2
931 , Antique Blue - MED , 124 , 135 , 145 , 0x7C8791
930 , Antique Blue - DK , 102 , 122 , 140 , 0x667A8C
928 , Grey Green - VY LT , 225 , 224 , 216 , 0xE1E0D8
927 , Grey Green - LT , 200 , 198 , 194 , 0xC8C6C2
926 , Grey Green - LT , 96 , 116 , 115 , 0x607473
924 , Grey Green - VY DK , 86 , 99 , 100 , 0x566364
3348 , Yellow Green - LT , 225 , 249 , 190 , 0xE1F9BE
3347 , Yellow Green - MED , 128 , 152 , 115 , 0x809873
3346 , Hunter Green , 120 , 134 , 107 , 0x78866B
3345 , Hunter Green - DK , 97 , 100 , 82 , 0x616452
3341 , Apricot , 255 , 172 , 162 , 0xEBACA2
3340 , Apricot - MED , 255 , 123 , 103 , 0xFF7B67
3328 , Salmon - DK , 188 , 64 , 85 , 0xBC4055
3326 , Rose - LT , 255 , 157 , 150 , 0xFF9D96
3325 , Baby Blue - LT , 202 , 226 , 229 , 0xCAE2E5
3078 , Golden Yellow - VY LT , 255 , 255 , 220 , 0xFFFFDC
3072 , Beaver Grey - VY LT , 233 , 233 , 223 , 0xE9E9DF
3064 , Sportsman Flesh - VY DK , 194 , 101 , 76 , 0xC2654C
3053 , Green Grey , 187 , 179 , 148 , 0xBBB394
3052 , Green Grey - MED , 137 , 141 , 114 , 0x898D72
3051 , Green Grey - DK , 85 , 73 , 0 , 0x554900
3047 , Yellow Beige - LT , 255 , 236 , 211 , 0xFFECD3
3046 , Yellow Beige - MED , 229 , 193 , 139 , 0xE5C18B
3045 , Yellow Beige - DK , 216 , 151 , 105 , 0xD89769
3042 , Antique Violet - LT , 225 , 205 , 200 , 0xE1CDC8
3041 , Antique Violet - MED , 190 , 155 , 167 , 0xBE9BA7
3033 , Mocha Brown - VY LT , 239 , 219 , 190 , 0xEFDBBE
3032 , Mocha Brown - MED , 188 , 156 , 120 , 0xBC9C78
3031 , Mocha Brown - VY DK , 84 , 56 , 23 , 0x543817
3024 , Brown Grey - VY LT , 210 , 208 , 205 , 0xD2D0CD
3023 , Brown Grey - LT , 198 , 190 , 173 , 0xC6BEAD
3022 , Brown Grey - MED , 172 , 172 , 170 , 0xACACAA
3021 , Brown Grey - VY DK , 115 , 91 , 93 , 0x735B5D
3013 , Khaki Green - LT , 208 , 195 , 164 , 0xD0C3A4
3012 , Khaki Green - MED , 170 , 134 , 103 , 0xAA8667
3011 , Khaki Green - DK , 123 , 91 , 64 , 0x7B5B40
996 , Electric Blue - MED , 170 , 222 , 225 , 0xAADEE1
995 , Electric Blue - DK , 0 , 123 , 134 , 0x007B86
993 , Aquamarine - LT , 192 , 224 , 200 , 0xC0E0C8
992 , Aquamarine , 146 , 183 , 165 , 0x92B7A5
991 , Aquamarine - DK , 47 , 91 , 73 , 0x2F5B49
989 , Forest Green , 134 , 153 , 110 , 0x86996E
988 , Forest Green - MED , 134 , 145 , 110 , 0x86916E
987 , Forest Green - DK , 83 , 97 , 73 , 0x536149
986 , Forest Green - VY DK , 58 , 82 , 65 , 0x3A5241
3768 , Grey Green - DK , 92 , 110 , 108 , 0x5C6E6C
3766 , Peacock Blue - LT , 24 , 101 , 111 , 0x18656F
3765 , Peacock Blue - VY DK , 24 , 128 , 134 , 0x188086
3761 , Sky Blue - LT , 227 , 234 , 230 , 0xE3EAE6
3760 , Wedgwood , 102 , 142 , 152 , 0x668E98
3756 , Baby Blue - ULT VY LT , 248 , 248 , 252 , 0xF8F8FC
3755 , Baby Blue , 158 , 176 , 206 , 0x9EB0CE
3753 , Antique Blue - ULT VY LT , 237 , 247 , 247 , 0xEDF7F7
3752 , Antique Blue - VY LT , 194 , 209 , 206 , 0xC2D1CE
3750 , Antique Blue - VY DK , 12 , 91 , 108 , 0x0C5B6C
3747 , Blue Violet - VY LT , 230 , 236 , 232 , 0xE6ECE8
3746 , Blue Violet - DK , 149 , 102 , 162 , 0x9566A2
3743 , Antique Violet - VY LT , 235 , 235 , 231 , 0xEBEBE7
3740 , Antique Violet - DK , 156 , 125 , 133 , 0x9C7D85
3733 , Dusty Rose , 255 , 154 , 148 , 0xFF9A94
3731 , Dusty Rose - VY DK , 209 , 93 , 103 , 0xD15D67
3727 , Antique Mauve - LT , 255 , 199 , 196 , 0xFFC7C4
3726 , Antique Mauve - DK , 195 , 118 , 123 , 0xC3767B
3722 , Shell Pink - MED , 184 , 89 , 88 , 0xB85958
3721 , Shell Pink - DK , 184 , 75 , 77 , 0xB84B4D
